Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_testSuite1,Chrome 73.0.3683.103,,2019-04-18 14:34:07,2019-04-18 14:35:11,1m - 3.953s,PASSED
,,,,,,
Test Cases/UpdateAdrressUser,Chrome 73.0.3683.103,,2019-04-18 14:34:08,2019-04-18 14:35:11,1m - 3.481s,PASSED
"openBrowser(""http://automationpractice.com/index.php"")",Chrome 73.0.3683.103,,2019-04-18 14:34:08,2019-04-18 14:34:57,48.425s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-18 14:34:57,2019-04-18 14:34:58,1.150s,PASSED
"click(findTestObject(""Object Repository/HomePage/a_Sign in""))",Chrome 73.0.3683.103,,2019-04-18 14:34:58,2019-04-18 14:35:00,1.880s,PASSED
"setText(findTestObject(""Object Repository/LoginPage/emailTxt""), ""pradovc01@gmail.com"")",Chrome 73.0.3683.103,,2019-04-18 14:35:00,2019-04-18 14:35:00,0.214s,PASSED
"setEncryptedText(findTestObject(""Object Repository/LoginPage/passwordTxt""), ""15vY55HfNEocmsnUm6x6eA=="")",Chrome 73.0.3683.103,,2019-04-18 14:35:00,2019-04-18 14:35:00,0.260s,PASSED
"click(findTestObject(""Object Repository/LoginPage/sigInButton""))",Chrome 73.0.3683.103,,2019-04-18 14:35:00,2019-04-18 14:35:03,2.326s,PASSED
"click(findTestObject(""Object Repository/MyAccountPage/addressLink""))",Chrome 73.0.3683.103,,2019-04-18 14:35:03,2019-04-18 14:35:04,1.177s,PASSED
"click(findTestObject(""Object Repository/MyAddressPage/updateButton""))",Chrome 73.0.3683.103,,2019-04-18 14:35:04,2019-04-18 14:35:05,1.544s,PASSED
"setText(findTestObject(""Object Repository/EditAddressPage/address1TextBox""), newAdrress)",Chrome 73.0.3683.103,,2019-04-18 14:35:05,2019-04-18 14:35:06,0.216s,PASSED
"click(findTestObject(""Object Repository/EditAddressPage/SaveButton""))",Chrome 73.0.3683.103,,2019-04-18 14:35:06,2019-04-18 14:35:08,2.266s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/MyAddressPage/addressText""), 10)",Chrome 73.0.3683.103,,2019-04-18 14:35:08,2019-04-18 14:35:08,0.061s,PASSED
"address = getText(findTestObject(""Object Repository/MyAddressPage/addressText""))",Chrome 73.0.3683.103,,2019-04-18 14:35:08,2019-04-18 14:35:08,0.066s,PASSED
"verifyMatch(address, newAdrress, true)",Chrome 73.0.3683.103,,2019-04-18 14:35:08,2019-04-18 14:35:08,0.020s,PASSED
assert address.equals(newAdrress),Chrome 73.0.3683.103,,2019-04-18 14:35:08,2019-04-18 14:35:08,0.002s,PASSED
"click(findTestObject(""Object Repository/MyAddressPage/a_SignLink""))",Chrome 73.0.3683.103,,2019-04-18 14:35:08,2019-04-18 14:35:10,2.461s,PASSED
closeBrowser(),Chrome 73.0.3683.103,,2019-04-18 14:35:10,2019-04-18 14:35:11,0.895s,PASSED
